x,g_x,line_45
0.1251251251,0.4378753128,0.1251251251
0.1261261261,0.4408733057,0.1261261261
0.1271271271,0.4438632827,0.1271271271
0.1281281281,0.4468452436,0.1281281281
0.1291291291,0.4498191886,0.1291291291
0.1301301301,0.4527851174,0.1301301301
0.1311311311,0.4557430303,0.1311311311
0.1321321321,0.4586929272,0.1321321321
0.1331331331,0.4616348080,0.1331331331
0.1341341341,0.4645686728,0.1341341341
0.1351351351,0.4674945215,0.1351351351
0.1361361361,0.4704123543,0.1361361361
0.1371371371,0.4733221710,0.1371371371
0.1381381381,0.4762239717,0.1381381381
0.1391391391,0.4791177564,0.1391391391
0.1401401401,0.4820035250,0.1401401401
0.1411411411,0.4848812777,0.1411411411
0.1421421421,0.4877510143,0.1421421421
0.1431431431,0.4906127349,0.1431431431
0.1441441441,0.4934664394,0.1441441441
0.1451451451,0.4963121279,0.1451451451
0.1461461461,0.4991498005,0.1461461461
0.1471471471,0.5019794569,0.1471471471
0.1481481481,0.5048010974,0.1481481481
0.1491491491,0.5076147218,0.1491491491
0.1501501502,0.5104203302,0.1501501502
0.1511511512,0.5132179226,0.1511511512
0.1521521522,0.5160074990,0.1521521522
0.1531531532,0.5187890593,0.1531531532
0.1541541542,0.5215626036,0.1541541542
0.1551551552,0.5243281319,0.1551551552
0.1561561562,0.5270856442,0.1561561562
0.1571571572,0.5298351404,0.1571571572
0.1581581582,0.5325766207,0.1581581582
0.1591591592,0.5353100849,0.1591591592
0.1601601602,0.5380355330,0.1601601602
0.1611611612,0.5407529652,0.1611611612
0.1621621622,0.5434623813,0.1621621622
0.1631631632,0.5461637814,0.1631631632
0.1641641642,0.5488571655,0.1641641642
0.1651651652,0.5515425335,0.1651651652
0.1661661662,0.5542198856,0.1661661662
0.1671671672,0.5568892216,0.1671671672
0.1681681682,0.5595505415,0.1681681682
0.1691691692,0.5622038455,0.1691691692
0.1701701702,0.5648491334,0.1701701702
0.1711711712,0.5674864053,0.1711711712
0.1721721722,0.5701156612,0.1721721722
0.1731731732,0.5727369011,0.1731731732
0.1741741742,0.5753501249,0.1741741742
0.1751751752,0.5779553327,0.1751751752
0.1761761762,0.5805525245,0.1761761762
0.1771771772,0.5831417003,0.1771771772
0.1781781782,0.5857228600,0.1781781782
0.1791791792,0.5882960037,0.1791791792
0.1801801802,0.5908611314,0.1801801802
0.1811811812,0.5934182431,0.1811811812
0.1821821822,0.5959673387,0.1821821822
0.1831831832,0.5985084183,0.1831831832
0.1841841842,0.6010414819,0.1841841842
0.1851851852,0.6035665295,0.1851851852
0.1861861862,0.6060835610,0.1861861862
0.1871871872,0.6085925766,0.1871871872
0.1881881882,0.6110935761,0.1881881882
0.1891891892,0.6135865595,0.1891891892
0.1901901902,0.6160715270,0.1901901902
0.1911911912,0.6185484784,0.1911911912
0.1921921922,0.6210174138,0.1921921922
0.1931931932,0.6234783332,0.1931931932
0.1941941942,0.6259312365,0.1941941942
0.1951951952,0.6283761239,0.1951951952
0.1961961962,0.6308129952,0.1961961962
0.1971971972,0.6332418505,0.1971971972
0.1981981982,0.6356626897,0.1981981982
0.1991991992,0.6380755130,0.1991991992
0.2002002002,0.6404803202,0.2002002002
0.2012012012,0.6428771113,0.2012012012
0.2022022022,0.6452658865,0.2022022022
0.2032032032,0.6476466456,0.2032032032
0.2042042042,0.6500193888,0.2042042042
0.2052052052,0.6523841158,0.2052052052
0.2062062062,0.6547408269,0.2062062062
0.2072072072,0.6570895220,0.2072072072
0.2082082082,0.6594302010,0.2082082082
0.2092092092,0.6617628640,0.2092092092
0.2102102102,0.6640875109,0.2102102102
0.2112112112,0.6664041419,0.2112112112
0.2122122122,0.6687127568,0.2122122122
0.2132132132,0.6710133557,0.2132132132
0.2142142142,0.6733059386,0.2142142142
0.2152152152,0.6755905054,0.2152152152
0.2162162162,0.6778670562,0.2162162162
0.2172172172,0.6801355910,0.2172172172
0.2182182182,0.6823961098,0.2182182182
0.2192192192,0.6846486126,0.2192192192
0.2202202202,0.6868930993,0.2202202202
0.2212212212,0.6891295700,0.2212212212
0.2222222222,0.6913580247,0.2222222222
0.2232232232,0.6935784633,0.2232232232
0.2242242242,0.6957908860,0.2242242242
0.2252252252,0.6979952926,0.2252252252
0.2262262262,0.7001916832,0.2262262262
0.2272272272,0.7023800577,0.2272272272
0.2282282282,0.7045604163,0.2282282282
0.2292292292,0.7067327588,0.2292292292
0.2302302302,0.7088970853,0.2302302302
0.2312312312,0.7110533957,0.2312312312
0.2322322322,0.7132016902,0.2322322322
0.2332332332,0.7153419686,0.2332332332
0.2342342342,0.7174742310,0.2342342342
0.2352352352,0.7195984774,0.2352352352
0.2362362362,0.7217147077,0.2362362362
0.2372372372,0.7238229220,0.2372372372
0.2382382382,0.7259231203,0.2382382382
0.2392392392,0.7280153026,0.2392392392
0.2402402402,0.7300994688,0.2402402402
0.2412412412,0.7321756191,0.2412412412
0.2422422422,0.7342437533,0.2422422422
0.2432432432,0.7363038714,0.2432432432
0.2442442442,0.7383559736,0.2442442442
0.2452452452,0.7404000597,0.2452452452
0.2462462462,0.7424361298,0.2462462462
0.2472472472,0.7444641839,0.2472472472
0.2482482482,0.7464842220,0.2482482482
0.2492492492,0.7484962440,0.2492492492
0.2502502503,0.7505002500,0.2502502503
0.2512512513,0.7524962400,0.2512512513
0.2522522523,0.7544842139,0.2522522523
0.2532532533,0.7564641719,0.2532532533
0.2542542543,0.7584361138,0.2542542543
0.2552552553,0.7604000397,0.2552552553
0.2562562563,0.7623559495,0.2562562563
0.2572572573,0.7643038434,0.2572572573
0.2582582583,0.7662437212,0.2582582583
0.2592592593,0.7681755830,0.2592592593
0.2602602603,0.7700994288,0.2602602603
0.2612612613,0.7720152585,0.2612612613
0.2622622623,0.7739230722,0.2622622623
0.2632632633,0.7758228699,0.2632632633
0.2642642643,0.7777146516,0.2642642643
0.2652652653,0.7795984172,0.2652652653
0.2662662663,0.7814741669,0.2662662663
0.2672672673,0.7833419005,0.2672672673
0.2682682683,0.7852016180,0.2682682683
0.2692692693,0.7870533196,0.2692692693
0.2702702703,0.7888970051,0.2702702703
0.2712712713,0.7907326746,0.2712712713
0.2722722723,0.7925603281,0.2722722723
0.2732732733,0.7943799656,0.2732732733
0.2742742743,0.7961915870,0.2742742743
0.2752752753,0.7979951924,0.2752752753
0.2762762763,0.7997907818,0.2762762763
0.2772772773,0.8015783551,0.2772772773
0.2782782783,0.8033579125,0.2782782783
0.2792792793,0.8051294538,0.2792792793
0.2802802803,0.8068929791,0.2802802803
0.2812812813,0.8086484883,0.2812812813
0.2822822823,0.8103959816,0.2822822823
0.2832832833,0.8121354588,0.2832832833
0.2842842843,0.8138669200,0.2842842843
0.2852852853,0.8155903651,0.2852852853
0.2862862863,0.8173057943,0.2862862863
0.2872872873,0.8190132074,0.2872872873
0.2882882883,0.8207126045,0.2882882883
0.2892892893,0.8224039856,0.2892892893
0.2902902903,0.8240873506,0.2902902903
0.2912912913,0.8257626996,0.2912912913
0.2922922923,0.8274300326,0.2922922923
0.2932932933,0.8290893496,0.2932932933
0.2942942943,0.8307406506,0.2942942943
0.2952952953,0.8323839355,0.2952952953
0.2962962963,0.8340192044,0.2962962963
0.2972972973,0.8356464573,0.2972972973
0.2982982983,0.8372656941,0.2982982983
0.2992992993,0.8388769150,0.2992992993
0.3003003003,0.8404801198,0.3003003003
0.3013013013,0.8420753085,0.3013013013
0.3023023023,0.8436624813,0.3023023023
0.3033033033,0.8452416380,0.3033033033
0.3043043043,0.8468127787,0.3043043043
0.3053053053,0.8483759034,0.3053053053
0.3063063063,0.8499310121,0.3063063063
0.3073073073,0.8514781047,0.3073073073
0.3083083083,0.8530171813,0.3083083083
0.3093093093,0.8545482419,0.3093093093
0.3103103103,0.8560712865,0.3103103103
0.3113113113,0.8575863150,0.3113113113
0.3123123123,0.8590933276,0.3123123123
0.3133133133,0.8605923241,0.3133133133
0.3143143143,0.8620833045,0.3143143143
0.3153153153,0.8635662690,0.3153153153
0.3163163163,0.8650412174,0.3163163163
0.3173173173,0.8665081498,0.3173173173
0.3183183183,0.8679670662,0.3183183183
0.3193193193,0.8694179665,0.3193193193
0.3203203203,0.8708608508,0.3203203203
0.3213213213,0.8722957191,0.3213213213
